1965-1966,1972-1973,1997-1998,2015-2016,avg
-0.8,-1,-0.5,0.7,-0.40
-0.8,-0.9,-0.5,0.6,-0.40
-0.8,-0.7,-0.4,0.6,-0.33
-0.6,-0.4,-0.1,0.6,-0.13
-0.3,0.1,0.3,0.8,0.23
-0.1,0.4,0.8,1,0.53
0.2,0.7,1.2,1.2,0.83
0.5,0.9,1.6,1.5,1.13
0.8,1.1,1.9,1.9,1.43
1.2,1.4,2.1,2.2,1.73
1.5,1.6,2.3,2.4,1.95
1.9,1.8,2.4,2.6,2.18
2,2.1,2.4,2.6,2.28
2,2.1,2.2,2.5,2.20
1.7,1.8,1.9,2.1,1.88
1.4,1.2,1.4,1.6,1.40
1.2,0.5,1,0.9,0.90
1,-0.1,0.5,0.4,0.45
