2018-2019,1951-1952,1976-1977,1986-1987,avg
-1,-0.6,-1.7,-0.5,-0.95
-0.9,-0.8,-1.6,-0.5,-0.95
-0.9,-0.8,-1.2,-0.3,-0.80
-0.7,-0.5,-0.7,-0.2,-0.53
-0.5,-0.2,-0.5,-0.1,-0.33
-0.2,0.2,-0.3,0,-0.08
0,0.4,0,0.2,0.15
0.1,0.6,0.2,0.4,0.33
0.2,0.7,0.4,0.7,0.50
0.5,0.9,0.6,0.9,0.73
0.8,1,0.8,1.1,0.93
0.9,1.2,0.9,1.2,1.05
0.8,1,0.8,1.2,0.95
0.8,0.8,0.7,1.2,0.88
0.7,0.5,0.6,1.1,0.73
0.7,0.4,0.3,0.9,0.58
0.7,0.3,0.2,1,0.55
0.5,0.3,0.2,1.2,0.55
